0.493242 26309.2
0.524459 575308
0.555675 235988
0.586892 14818.1
0.618109 849.831
0.649325 81.7016
0.680542 10.1697
0.711759 1.78218
0.742975 0.375367
0.774192 0.0899152
0.805408 0.0249126
0.836625 0.00912584
0.867842 0.00341182
0.899058 0.00173397
0.930275 0.000978413
0.961492 0.000636372
0.992708 0.000424023
1.02392 0.000311871
1.05514 0.000256171
1.08636 0.000220069
1.11757 0.000213514
1.14879 0.000208293
1.18001 0.000241705
1.21122 0.00026378
1.24244 0.000300231
1.27366 0.000401301
1.30487 0.000502444
1.33609 0.000663318
1.36731 0.00101431
1.39852 0.00141928
1.42974 0.00205543
1.46096 0.00320661
1.49217 0.00501131
1.52339 0.00751146
1.55461 0.0113873
1.58582 0.0188254
1.61704 0.0312766
1.64826 0.0532867
1.67947 0.0895779
1.71069 0.158743
1.74191 0.254355
1.77312 0.470174
1.80434 0.791158
1.83556 1.44665
1.86677 2.39374
1.89799 4.0304
1.92921 6.72968
1.96042 11.8554
1.99164 21.0351
2.02286 32.8456
2.05407 59.3568
2.08529 94.1626
2.11651 146.375
2.14772 245.614
2.17894 383.324
2.21016 604.585
2.24137 941.771
2.27259 1478.13
2.30381 2106.07
2.33502 3392.81
2.36624 4733.77
2.39746 6968.5
2.42867 9406.61
2.45989 13296.5
2.49111 16988.5
2.52232 21994.8
2.55354 28908.9
2.58476 35322.4
2.61597 42117.6
2.64719 49629.5
2.67841 59861.1
2.70962 65181.2
2.74084 72876.7
2.77206 79378.9
2.80327 84416.2
2.83449 84876.7
2.86571 84912.6
2.89692 82783.6
2.92814 81249.5
2.95936 72147.3
2.99057 62287.7
3.02179 57755.9
3.05301 46389.4
3.08422 37554.7
3.11544 30073.9
3.14666 24059.1
3.17787 18157.1
3.20909 12480.7
3.24031 7819.2
3.27152 5939.59
3.30274 3308.12
3.33396 2105.17
3.36517 1278.14
3.39639 714.254
3.42761 601.477
3.45882 375.923
3.49004 37.5923
3.52126 187.962
3.55247 37.5923
3.58369 75.1847
